,ICAO,Airline,Country/Region
3149,IPA,IPEC Aviation,Australia
3150,IPM,IPM Europe,United Kingdom
3151,LVB,IRS Airlines,Nigeria
3152,ISD,ISD Avia,Ukraine
3153,FDF,IVV Femida,Russia
3154,IBE,Iberia Airlines,Spain
3155,CSQ,IBC Airways,United States
3156,IBS,Iberia Express,Spain
3157,IBR,Ibertour Servicios Aéreos,Spain
3158,IBT,Ibertrans Aérea,Spain
3159,IWD,Iberworld,Spain
3160,IBX,Ibex Airlines,Japan
3161,IBC,Ibicenca Air,Spain
3162,AKI,Ibk-Petra,Sudan
3163,IBL,IBL Aviation,Mauritius
3164,BBL,IBM Euroflight Operations,Switzerland
3165,IPR,Independent Carrier (ICAR),Ukraine
3166,ICA,Icaro,Italy
3167,ICD,Icaro Air,Ecuador
3168,IUS,Icarus,Italy
3169,CIC,ICC Canada,Canada
3170,ICJ,Icejet,Iceland
3171,ICE,Icelandair,Iceland
3172,ICG,Icelandic Coast Guard,Iceland
3173,RAC,Icar Air,Bosnia and Herzegovina
3174,FRC,Icare Franche Compte,France
3175,IFM,Ifly,Greece
3176,IKR,Ikaros DK,Denmark
3177,CIO,Il Ciocco International Travel Service,Italy
3178,ILV,Il-Avia,Russia
3179,IDL,Ildefonso Redriguez,Mexico
3180,IAR,Iliamna Air Taxi,United States
3181,ILP,Ilpo Aruba Cargo,Aruba
3182,ILL,Ilyich-Avia,Ukraine
3183,IMR,Imaer,Portugal
3184,ITX,Imair Airlines,Azerbaijan
3185,PNX,Imperial Airways,United States
3186,IMG,Imperial Cargo Airlines,Ghana
3187,IMT,Imtrec Aviation,Cambodia
3188,IDE,Independence Air,United States
3189,IDP,Independent Air Freighters,Australia
3190,IOA,IndiaOne Air,India
3191,IGO,IndiGo,India
3192,IIL,India International Airways,India
3193,IFC,Indian Air Force,India
3194,IAC,Indian Airlines,India
3195,IDR,Indicator Company,Hungary
3196,IBU,Indigo Airlines,United States
3197,AXC,Indochina Airlines,Vietnam
3198,IDA,Indonesia Air Transport,Indonesia
3199,AWQ,Indonesia AirAsia,Indonesia
3200,IAA,Indonesian Airlines,Indonesia
3201,IPN,Industri Pesawat Terbang Nusantara,Indonesia
3202,ITN,Industrias Titan,Spain
3203,FFI,Infinit Air,Spain
3204,IMX,Zimex Aviation,Switzerland
3205,INS,Inflite The Jet Centre,United Kingdom
3206,IVA,Innotech Aviation,Canada
3207,INC,Insel Air International,Netherlands Antilles
3208,ICC,Institut Cartogràfic de Catalunya,Spain
3209,INT,Intair,Canada
3210,INL,Intal Avia,Kyrgyzstan
3211,FFL,Intavia Limited,United Kingdom
3212,XRA,Intensive Air,South Africa
3213,ITW,Inter Air,Bulgaria
3214,INX,Inter Express,Turkey
3215,IIC,Inter Island Air Charter,Bahamas
3216,IIN,Inter Island Airways,Cape Verde
3217,CAR,Inter RCA,Central African Republic
3218,NTT,Inter Tropic Airlines,Sierra Leone
3219,TCU,Inter Tropical Aviation,Suriname
3220,ITA,Inter-Air,United States
3221,ICN,Inter-Canadian,Canada
3222,UGL,Inter-Island Air,United States
3223,IMA,Inter-Mountain Airways,United States
3224,ITS,Inter-State Aviation,United States
3225,ILN,Interair South Africa,South Africa
3226,NTE,Interaire,Mexico
3227,SUW,Interavia Airlines,Russia
3228,IVT,Interaviatrans,Ukraine
3229,IWY,InterCaribbean Airways,Turks and Caicos Islands
3230,ICT,Intercontinental de Aviación,Colombia
3231,ICP,Intercopters,Spain
3232,IFT,Interflight,United Kingdom
3233,IJT,Interflight (Learjet),United Kingdom
3234,RFL,Interfly,Italy
3235,IFF,Interfreight Forwarding,Sudan
3236,IGN,Interguide Air,Nigeria
3237,ISN,Interisland Airlines,Philippines
3238,IWY,Interisland Airways Limited,Turks and Caicos Islands
3239,IHE,Interjet Helicopters,Greece
3240,IJW,Interjet Inc.,United States
3241,ITK,Interlink Airlines,South Africa
3242,IAK,International Air Cargo Corporation,Egypt
3243,EXX,International Air Corporation,United States
3244,NCC,"T3 Aviation, Inc.",United States
3245,IAX,International Air Services,Liberia
3246,IBZ,International Business Air,Sweden
3247,IBY,International Business Aircraft,United States
3248,ICS,International Charter Services,Mexico
3249,ICX,International Charter Xpress,United States
3250,RED,International Committee of the Red Cross,Switzerland
3251,IIG,"International Company for Transport, Trade and Public Works",Libya
3252,IFX,International Flight Training Academy,United States
3253,IJA,International Jet Aviation Services,United States
3254,HSP,International Jet Charter,United States
3255,THN,International Security Assistance Force,Canada
3256,RSQ,International SOS Windhoek,Namibia
3257,ISF,International Stabilisation Assistance Force,United Kingdom
3258,ITH,International Trans-Air,Nigeria
3259,IPT,Interport Corporation,United States
3260,IKY,Intersky Bulgary,Bulgaria
3261,ISK,Intersky,Austria
3262,FWA,Interstate Airlines,Netherlands
3263,ITU,Intervuelos,Mexico
3264,INV,Inversija,Latvia
3265,IND,Iona National Airways,Ireland
3266,IOA,Iowa Airways,United States
3267,IRA,Iran Air,Iran
3268,IRC,Iran Aseman Airlines,Iran
3269,IRB,Iranair Tours,Iran
3270,IRG,Iranian Naft Airlines,Iran
3271,IAW,Iraqi Airways,Iraq
3272,BIS,Irbis Air,Kazakhstan
3273,IRL,Irish Air Corps,Ireland
3274,RDK,Irish Air Transport,Ireland
3275,XMR,Irish Aviation Authority,Ireland
3276,MZA,Irtysh Air,Kazakhstan
3277,KCE,Irving Oil,Canada
3278,ISI,Island Air,Mexico
3279,ILF,Island Air Charters,United States
3280,XYZ,Island Air Express,United States
3281,ISA,Island Airlines,United States
3282,SOY,Island Aviation,Philippines
3283,DQA,Island Aviation Services,Maldives
3284,IOM,Island Aviation and Travel,United Kingdom
3285,SDY,Island Express,United States
3286,MTP,Island Helicopters,United States
3287,ILC,ILAS Air,Japan
3288,IAJ,Islandair Jersey,United Kingdom
3289,ICB,Icebird Airline,Iceland
3290,ISW,Islas Airways,Spain
3291,IGS,Isle Grande Flying School,United States
3292,ISV,Islena De Inversiones,Honduras
3293,IOS,Isles of Scilly Skybus,United Kingdom
3294,IAI,Israel Aircraft Industries,Israel
3295,IAF,Israeli Air Force,Israel
3296,ISR,Israir,Israel
3297,IST,Istanbul Airlines,Turkey
3298,ITY,ITA Airways,Italy
3299,ACL,Itali Airlines,Italy
3300,IFS,Italy First,Italy
3301,IKA,Itek Air,Kyrgyzstan
3302,IVS,Ivoire Aero Services,Ivory Coast
3303,IVW,Ivoire Airways,Ivory Coast
3304,IJE,Ivoire Jet Express,Ivory Coast
3305,OIC,Iwamoto Crane Co Ltd,Japan
3306,IXR,Ixair,France
3307,IZM,Izair,Turkey
3308,IZA,Izhavia,Russia
3309,JGJ,Jinggong Jet,China
3310,JNY,Journey Aviation,United States
3311,JKR,Justice Air Charter,United States
3312,JWD,Jayawijaya Dirgantara,Indonesia
3313,JCB,J C Bamford (Excavators),United Kingdom
3314,RFX,J P Hunt Air Carriers,United States
3315,JEX,JAL Express,Japan
3316,JAZ,JALways,Japan
3317,JDA,JDAviation,United Kingdom
3318,JDP,JDP Lux,Luxembourg
3319,JHM,JHM Cargo Expreso,Costa Rica
3320,TQM,JM Family Aviation,United States
3321,JMC,JMC Airlines,United Kingdom
3322,JSJ,JS Air,Pakistan
3323,JES,JS Aviation,Mexico
3324,JCK,Jackson Air Services,Canada
3325,JAE,Jade Cargo International,China
3326,JAW,Jamahiriya Airways,Libya
3327,JMB,Jambo Africa Airlines,Democratic Republic of Congo
3328,WWW,Janet,United States
3329,FJX,Jet Sky Cargo and Air Charter,Kenya
3330,JAK,Jana-Arka,Kazakhstan
3331,JAX,Janair,United States
3332,JAC,Japan Air Commuter,Japan
3333,JSV,Japan Aircraft Service,Japan
3334,JAL,Japan Airlines,Japan
3335,JAL,Japan Airlines Domestic,Japan
3336,JAA,Japan Asia Airways,Japan
3337,JTA,Japan Transocean Air,Japan
3338,JAT,JetSMART,Chile
3339,JTY,Jatayu Airlines,Indonesia
3340,JZR,Jazeera Airways,Kuwait
3341,JJA,Jeju Air,Republic of Korea
3342,JNY,Jenney Beechcraft,United States
3343,XLD,Jeppesen Data Plan,United States
3344,JPN,Jeppesen UK,United Kingdom
3345,JEA,OLT Express,Poland
3346,JSI,Jet Air Group,Russia
3347,JAI,Jet Airways,India
3348,JTX,Jet Aspen Air Lines,United States
3349,PJS,Jet Aviation,Switzerland
3350,BZF,Jet Aviation Business Jets,United States
3351,JAS,Jet Aviation Flight Services,United States
3352,JCF,Jet Center Flight Training,Spain
3353,JCT,Jet Charter,United States
3354,JCX,Jet Connection,Germany
3355,DWW,Jet Courier Service,United States
3356,JED,Jet East International,United States
3357,JEI,Jet Executive International Charter,Germany
3358,RZA,Jet Fighter Flights,Australia
3359,CFT,Jet Freighters,United States
3360,JGD,Jet G&D Aviation,Israel
3361,MJL,Jet Line International,Moldova
3362,JEK,Jet Link,Israel
3363,HTL,Jet Linx Aviation,United States
3364,JTL,Jet Linx Aviation,United States
3365,JNR,Jet Norte,Mexico
3366,JRN,Jet Rent,Mexico
3367,JDI,Jet Story,Poland
3368,JSA,Jetstar Asia Airways,Singapore
3369,JSM,Jet Stream,Moldova
3370,JTF,Jet Time,Finland
3371,JTC,Jet Trans Aviation,Ghana
3372,JTT,Jet-2000,Russia
3373,OPS,Jet-Ops,United Arab Emirates
3374,JSH,Jet-stream,Hungary
3375,EXS,Jet2.com,United Kingdom
3376,JFU,Jet4You,Morocco
3377,OSW,JetAfrica Eswatini,Eswatini
3378,JBU,JetBlue Airways,United States
3379,JMG,JetMagic,Ireland
3380,JMK,Jetmagic,Malta
3381,JAA,Jet Asia Airways,Thailand
3382,JAF,Jetairfly,Belgium
3383,JTL,Jetall Holdings,Canada
3384,JAG,Jetalliance,Austria
3385,JCS,Jetclub,Switzerland
3386,QNZ,Jetconnect,New Zealand
3387,UEJ,Jetcorp,United States
3388,JCC,Jetcraft Aviation,Australia
3389,JXA,Jetex Aviation,Lebanon
3390,JEF,Jetflite,Finland
3391,JFL,Jetfly Airlines,Austria
3392,JFA,Jetfly Aviation,Luxembourg
3393,JIC,Jetgo International,Thailand
3394,JLX,Jetlink Express,Kenya
3395,JLH,Jetlink Holland,Netherlands
3396,JNL,JetNetherlands,Netherlands
3397,JNV,Jetnova de Aviación Ejecutiva,Spain
3398,JPO,Jetpro,Mexico
3399,MDJ,Jetran Air,Romania
3400,JRI,Jetrider International,United Kingdom
3401,JEJ,Jets Ejecutivos,Mexico
3402,JEP,Jets Personales,Spain
3403,JSE,Jets Y Servicios Ejecutivos,Mexico
3404,JGO,JetsGo,Canada
3405,JST,Jetstar,Australia
3406,JJP,Jetstar Japan,Japan
